Id,StateAbbr,ClientUno,County,StateName,PostalCode,EthnicIdentity,Age,Gender,MaritalStatus,Veteran,Imprisoned,NumberInHousehold,AnnualIncome,AllowedIncome,CheckingBalance,SavingsBalance,InvestmentsBalance,CreatedUtc
540,OK,F1082EB4-A86B-4D30-BD20-51F2A2044E6E,Tulsa,Oklahoma,74063,Caucasian,NULL,Male,Single,NULL,No,6,33600,72590,NULL,NULL,NULL,########
541,TN,B4C3F691-96EB-4DC1-A0C9-1F9B6437AC38,Montgomery,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
542,TX,F1894696-20BA-40DB-A2E5-73A580EEC54A,Harris,Texas,77084,Caucasian,35,Female,Separated,No,No,2,15330,25390,0,NULL,NULL,########
543,WY,7C36DD03-A2B7-4952-B2AE-191A9CBC7BCB,Natrona,Wyoming,82609,Caucasian,NULL,Female,Divorced or Widowed,NULL,No,2,19044,25390,60,NULL,NULL,########
544,AK,531A59F6-7B24-4E89-94AB-09570080FDEA,Dillingham Census Area,Alaska,99576,Native American or Alaska Native,24,Male,Single,No,No,1,0,16990,NULL,NULL,NULL,########
545,AR,54F312D6-9EE2-487C-906C-A670A22D37E4,Independence,Arkansas,72501,Caucasian,38,Male,Married / remarried,No,No,3,21048,37190,NULL,NULL,NULL,########
546,AZ,9CA75139-D61F-4FCA-9D5B-A2C000AB99C5,Maricopa,Arizona,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
547,CA,2992C41A-E746-49A6-A8C2-79A216F3DBCB,Yolo,California,95695,Caucasian,31,Female,Single,No,No,3,15000,51350,NULL,NULL,NULL,########
548,HI,E148A77E-3EC3-4F6F-8CC6-B61927427EC8,Honolulu,Hawaii,96731,I'd rather not answer,NULL,I'd rather not answer,I'd rather not answer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
549,IA,605E180F-A3D3-4DFA-A014-0EC496929779,Polk,Iowa,50316,Caucasian,28,Male,Divorced or Widowed,No,No,2,25000,25390,10,75,NULL,########
550,KS,A4EA4586-8FB6-4F68-8910-42881DB30C20,Shawnee,Kansas,64118,Caucasian,36,Female,Divorced or Widowed,No,No,2,13200,25390,50,NULL,NULL,########
551,ME,6E19CB1D-5799-4C0F-8E8C-552C4CE33F99,Kennebec,Maine,4901,Caucasian,28,Female,Single,No,No,4,9400,70230,1,NULL,NULL,########
552,NY,C17EE381-3EE4-46DD-9749-604D47794123,Westchester,New York,10801,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
553,OK,84256222-1233-45FE-B35E-8C25F3632E66,Custer,Oklahoma,73601,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
554,TN,72B7FA62-BE08-4DC0-B98C-35951C0580B3,Anderson,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
555,TX,DFF5303F-D9C0-4E7A-8B98-102A881E07D4,Fort Bend,Texas,77063,African,39,Male,Divorced or Widowed,No,No,2,125000,25390,500,100,NULL,########
556,AK,F3EC3964-F94C-46C3-92EB-F9ACEC533F4D,Kenai Peninsula Borough,Alaska,99664,Caucasian,28,Female,Single,No,No,3,780000,46490,NULL,10000,NULL,########
557,AZ,2666C9AD-E4DA-4546-BECF-5D7B81427FE2,Apache,Arizona,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
558,GA,49DBCD0D-3614-4D7A-98A8-7157D9BCCE74,Rockdale,Georgia,30012,African American,27,Female,Single,No,No,1,0,13590,NULL,0,NULL,########
559,HI,034EE76E-3553-41FF-B4E1-FC86D54C3340,Honolulu,Hawaii,96817,"Asian,Caucasian,Native Hawaiian / Pacific Islander",27,Female,Single,No,No,2,0,29205,NULL,NULL,NULL,########
560,KS,CB26BC05-DD16-4E7B-82AE-FD07097F513F,Crawford,Kansas,66762,Caucasian,37,Female,Divorced or Widowed,No,No,3,13000,37190,40,NULL,NULL,########
561,MI,36766F86-78D1-4440-B369-3E8BCCBC27F3,Genesee,Michigan,48503,Caucasian,21,Female,Single,No,No,1,0,13590,27,400,NULL,########
562,MO,8D04B1C9-4A50-459C-96AC-8883A2EBAED6,Jackson,Missouri,64106,Caucasian,42,Female,Separated,No,No,1,7200,13590,NULL,NULL,NULL,########
563,NH,B63D3CF9-CD8E-4C38-A6FC-79A6662BD445,Merrimack,New Hampshire,3275,"Caucasian,Native American or Alaska Native",46,Female,Divorced or Widowed,No,No,5,18600,89110,746,NULL,NULL,########
564,PA,93E3988A-48D7-491A-8824-059300BA3E94,Schuylkill,Pennsylvania,17901,Caucasian,36,Female,Single,No,No,1,16000,13590,NULL,NULL,NULL,########
565,TN,BAE0B271-86EE-4EC7-AD95-7EC7905845D6,Davidson,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
566,UT,8264A918-CB22-4BE2-AFCC-D229A7F399B5,Salt Lake,Utah,84107,I'd rather not answer,23,Female,Married / remarried,No,No,5,24000,60790,0,NULL,NULL,########
567,AK,F8BBB5D3-537E-40CC-8870-7BEEE1A01B0F,Anchorage Municipality,Alaska,99515,Caucasian,34,Female,Married / remarried,No,No,4,65000,61240,10,1,NULL,########
568,AL,F92B52D1-1884-4093-9D08-DAD5602D72A9,Jefferson,Alabama,35205,"Asian,Other",25,Female,Divorced or Widowed,No,No,1,45000,13590,2500,NULL,NULL,########
569,AZ,B0B25542-DEA2-4017-8F05-AC5E45DAF4E5,Maricopa,Arizona,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
570,CT,EF423394-52A6-4510-9351-84255A694DC2,Fairfield,Connecticut,6903,,63,Male,Single,No,No,1,9744,13590,135,NULL,NULL,########
571,HI,B6C18CBE-4C6B-48EE-BA0F-1558E7DE8345,Hawaii,Hawaii,96743,"Asian,Caucasian",37,Female,Married / remarried,No,Yes,4,31248,56355,1092,23,NULL,########
572,MA,3B35CBA8-070D-492E-9451-27B6E5C4265E,Berkshire,Massachusetts,1226,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
573,MI,49D48156-D75B-4105-A228-44D7AB28CF54,Genesee,Michigan,48503,Caucasian,21,Female,Single,NULL,No,1,0,13590,27,400,NULL,########
574,NE,EF415D8B-2844-4102-8C4A-BC099BB6063A,Sarpy,Nebraska,68046,Other,41,Female,Divorced or Widowed,NULL,No,5,58560,89110,14,NULL,NULL,########
575,NJ,2ADE5BBD-E229-4F43-86BB-4A5B74241D08,Monmouth,New Jersey,8861,I'd rather not answer,NULL,I'd rather not answer,I'd rather not answer,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
576,PA,21D8D9A2-BB57-4A03-B062-D8CA25B5F15B,Monroe,Pennsylvania,18302,Other,NULL,Female,Married / remarried,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
577,TN,151E7746-1165-44ED-AEBC-E786C4E1E8B7,Shelby,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
578,WY,B2B8AAB3-5735-44DB-B215-9E680DA2E97E,Sweetwater,Wyoming,84041,I'd rather not answer,NULL,Female,Separated,NULL,No,2,4800,25390,NULL,NULL,NULL,########
579,AK,CEC29D09-C0BB-4BB6-B300-3E7DEF7F06F5,Fairbanks North Star Borough,Alaska,99701,Caucasian,51,Female,Divorced or Widowed,No,No,2,36000,31740,2.26,15,NULL,########
580,AL,23B90AE1-5A17-413D-9C9E-CC4EB44E23F9,Jackson,Alabama,35769,Caucasian,32,Male,Married / remarried,No,No,3,15000,37190,NULL,NULL,NULL,########
581,AZ,D99807A3-D52E-4BD6-83CD-E2F6D6D3BB87,Cochise,Arizona,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
582,HI,68482EDE-EF98-401F-97EB-9592F1EC4C9C,Honolulu,Hawaii,96797,Caucasian,52,Female,Divorced or Widowed,Yes,No,1,28800,15630,300,NULL,NULL,########
583,MA,4970465C-66E5-41E8-B523-E0E5A6CFCE8A,Middlesex,Massachusetts,2461,I'd rather not answer,50,Female,Single,NULL,No,1,5000,13590,50,NULL,NULL,########
584,MD,8FE4B61B-E943-43A5-A90C-A3EAD957CA9B,Baltimore city,Maryland,21206,Caucasian,36,Female,Separated,No,No,3,24752,37190,175,250,NULL,########
585,ME,FD7A4F0F-906E-495E-881D-C906191748AE,Somerset,Maine,4976,Caucasian,30,Male,Married / remarried,Yes,No,3,24000,51350,NULL,NULL,NULL,########
586,MI,998575AD-D5E7-4842-9D7E-24F4256D17FD,Genesee,Michigan,48504,African American,37,Female,Single,No,No,4,50000,41910,NULL,NULL,NULL,########
587,NJ,726702B1-2722-4F06-8898-C9E37D655112,Bergen,New Jersey,7070,Asian,NULL,Female,Married / remarried,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
588,NY,00396258-E786-4BCC-8954-3AF808D71751,Kings,New York,11207,,NULL,Female,Single,NULL,No,2,NULL,32470,NULL,NULL,NULL,########
589,PA,1E87B4AF-A757-461E-96E7-2A01FC9D2562,Chester,Pennsylvania,19341,Caucasian,NULL,Male,Married / remarried,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
590,TN,7018EC9C-6B85-484B-9E3F-3851B7C677E2,Knox,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
591,TX,DB1BBDEA-8AAB-42D2-8120-912A52ECC318,Denton,Texas,76201,Caucasian,22,Female,Separated,No,No,1,5000,13590,462,20,NULL,########
592,AZ,F0BFC537-7A94-468B-8A6D-C8C777FC0125,Maricopa,Arizona,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
593,IL,00A131E2-611A-4DD9-AD47-BC6B721DE326,Cook,Illinois,60633,African American,34,Female,Single,No,No,1,19200,13590,60,NULL,NULL,########
594,KS,1ABFDA9C-830D-45BC-8260-C5AF33C8CDF6,Butler,Kansas,67017,Caucasian,41,NULL,Married / remarried,No,No,5,31200,60790,NULL,NULL,NULL,########
595,MD,5B340794-4D24-4A5C-8F10-365CB64536C5,Baltimore city,Maryland,27613,African American,50,Female,Single,No,No,1,23400,13590,100,NULL,NULL,########
596,MO,0015B11C-7A4E-4B92-B76D-4429B36AA0F9,Boone,Missouri,73013,,38,NULL,NULL,NULL,No,4,27000,70230,200,NULL,NULL,########
597,NH,FB1A3D33-C437-44BD-BF99-51BB2A484004,Merrimack,New Hampshire,3301,African American,51,Female,Single,No,No,1,9999,13590,NULL,NULL,NULL,########
598,NJ,8011ED1F-E2CB-4F04-8464-B89520EA16B4,Morris,New Jersey,7801,Latino or Hispanic,36,Female,Divorced or Widowed,No,No,5,0,89110,200,2500,NULL,########
599,NM,3E93AC57-060A-444F-BB79-D826AD5955E4,Lea,New Mexico,88240,African American,36,Female,Divorced or Widowed,No,No,4,12000,48990,NULL,NULL,NULL,########
600,PA,7E537181-F5BD-4720-83BD-0C172C6B7937,Cumberland,Pennsylvania,17011,Caucasian,35,Female,Single,No,No,3,25000,37190,2,NULL,NULL,########
601,TN,C658F4AA-D790-4763-A0C5-9922D65450C0,Shelby,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
602,VA,76BDC042-C756-4FC5-BE88-470D8E2110F3,Virginia Beach city,Virginia,23517,,NULL,NULL,NULL,NULL,No,3,18200,37190,110,25,NULL,########
603,AZ,7D75763F-FF71-4A6A-8A14-C20E8C632CF2,Maricopa,Arizona,,NULL,36,NULL,NULL,NULL,No,3,10992,37190,41,NULL,NULL,########
604,CA,ED44EA41-FA33-49EF-B96E-037E4DFE60BE,Placer,California,95747,,32,NULL,NULL,NULL,No,2,80000,32470,200,NULL,NULL,########
605,IA,30C8FF47-A4F6-4F82-BBD4-C149D12F9486,Iowa,Iowa,52060,Other,24,Female,Single,No,No,3,3600,37190,NULL,NULL,NULL,########
606,KS,BA9AF221-D441-4F7F-8E91-1728657E47DB,Shawnee,Kansas,66604,,36,NULL,NULL,NULL,No,3,20400,37190,0,NULL,NULL,########
607,LA,3227CBD5-EF14-454E-9E2D-54D29F62576E,Orleans Parish,Louisiana,70116,Caucasian,NULL,Male,Single,NULL,No,1,12000,13590,1200,NULL,NULL,########
608,NJ,06696878-B2CC-4BF0-AF89-ED670AD9F415,Camden,New Jersey,8083,Caucasian,37,Female,Married / remarried,No,No,5,70000,89110,150,NULL,NULL,########
609,NM,6BEC105D-DAFE-4D0C-8179-94184F8509A7,Eddy,New Mexico,88210,Caucasian,26,Female,Single,No,No,4,15600,48990,23,NULL,NULL,########
610,OK,334F10D2-EB97-4701-9BC7-ED4C9F3EEFFF,Oklahoma,Oklahoma,74729,Caucasian,NULL,Male,Single,NULL,No,5,15600,60790,-5,NULL,NULL,########
611,TN,0AE4D520-04D9-4FA8-8ADE-C2D40B1A58E7,Sullivan,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
612,US,56CBB800-9760-443D-BBC9-1F68E0BAAD75,Louisiana,ABA Federal,70471,Caucasian,NULL,Male,Married / remarried,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
613,WY,079C0317-0696-4677-8D83-C6B53DFA8922,Natrona,Wyoming,82601,Caucasian,26,Female,Married / remarried,NULL,No,7,0,84390,NULL,NULL,NULL,########
614,AK,D62CEE7F-707A-4137-986C-91AF9F96EA86,Juneau City and Borough,Alaska,99801,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
615,AL,7AA99A6A-D92A-40D1-B787-B22670FFDCAC,Dallas,Alabama,32968,Caucasian,49,Female,Separated,No,No,4,0,48990,200,NULL,NULL,########
616,AR,7C7B70E2-E912-467C-A32D-4F94437630FC,Arkansas,Arkansas,72404,Latino or Hispanic,33,Female,Married / remarried,No,No,1,6000,13590,0,NULL,NULL,########
617,AZ,79601488-91CD-4CF5-B564-EFFEC9D3CF91,Maricopa,Arizona,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
618,HI,6BEF55FD-A49E-4AB6-957C-C00C22C69162,Hawaii,Hawaii,96720,,48,NULL,NULL,NULL,No,1,4200,15630,NULL,NULL,NULL,########
619,ME,D75C8F98-B048-4262-B853-948670454AFA,Cumberland,Maine,4092,Caucasian,51,Female,Married / remarried,No,No,6,20000,107990,100,300,NULL,########
620,NM,CBD98064-8FD9-4F84-9D6F-70991B397263,Lea,New Mexico,88265,I'd rather not answer,37,I'd rather not answer,I'd rather not answer,NULL,No,5,33600,60790,NULL,NULL,NULL,########
621,TN,D358E384-67B4-46F2-93F1-1A76194E3805,Warren,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
622,WY,E3139ED6-2862-404A-B7CD-5C62B2C396EE,Goshen,Wyoming,82223,Caucasian,NULL,Male,Single,NULL,No,1,24000,13590,1500,NULL,NULL,########
623,AK,0D33FA64-8E62-4BDE-937D-929E610B57F5,Anchorage Municipality,Alaska,99504,Other,44,Female,Divorced or Widowed,No,No,1,26000,16990,100,0,NULL,########
624,AZ,3960ED82-6C70-4180-8E40-6E4019C5EDFE,Pima,Arizona,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
625,CA,3C487808-299F-46EC-961C-61E71684DE13,Tulare,California,93257,"Caucasian,Latino or Hispanic",42,Female,Single,No,No,2,6360,32470,NULL,NULL,NULL,########
626,MD,0EABD6D9-F4D4-4EC9-ACAC-72EA27F63C4A,Washington,Maryland,21740,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
627,MI,B6B3AE57-09E2-4AE5-87DE-2D915ADEF54E,Genesee,Michigan,48506,Caucasian,48,Male,Single,No,No,2,15000,23030,NULL,NULL,NULL,########
628,MO,AA1E090C-F869-4CF6-97B4-BCBC14AF018B,Platte,Missouri,64153,Caucasian,36,Female,Married / remarried,No,No,2,360000,32470,1,1,NULL,########
629,PA,285EC041-DF24-4964-A9E1-E6E4D934A282,Lackawanna,Pennsylvania,18505,Caucasian,32,Female,Single,No,No,4,14000,48990,450,15,NULL,########
630,TN,6500B628-D132-4E38-8210-7A713606535D,Davidson,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
631,US,CEAA5C4D-44A6-487D-B500-E39D1AFDEC09,Wisconsin,ABA Federal,54401,Caucasian,46,Male,Divorced or Widowed,Yes,Yes,1,0,13590,500,NULL,500,########
632,AZ,45C3770E-285E-40E5-996B-F422DF5C4ECC,Maricopa,Arizona,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
633,CA,7187E643-FDB7-43CC-A549-47AD2F28D3EA,Santa Clara,California,94086,Asian,20,Male,Single,No,No,5,100000,89110,3000,NULL,788,########
634,GA,1F921ECC-161E-4C2F-871E-273996C86194,Long,Georgia,31316,Caucasian,NULL,Female,Separated,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
635,IA,FAB1DA1D-90BC-432B-989E-3C1BBCA22DC7,Polk,Iowa,50313,Caucasian,50,Female,Single,No,No,1,21000,13590,103,5,NULL,########
636,IL,0178E795-837B-4DB0-A729-E67B4922FE0E,Cook,Illinois,60630,I'd rather not answer,40,Male,Divorced or Widowed,No,No,1,0,13590,NULL,NULL,NULL,########
637,MD,1ACAAE75-AF95-491B-9C55-F9C67EA124E8,Baltimore,Maryland,21057,African American,NULL,Male,Married / remarried,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
638,MO,52888576-B885-4E73-B16F-ED4A57B56B3C,Jefferson,Missouri,63052,Caucasian,NULL,Female,Married / remarried,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
639,NH,66AC5754-4D73-4E5A-881F-EDD00B7B091A,Merrimack,New Hampshire,3303,Caucasian,65,Male,Divorced or Widowed,No,No,1,19000,13590,100,NULL,NULL,########
640,OK,D32B034E-1EB7-4597-BD4E-7E73A865B550,Oklahoma,Oklahoma,73119,African,NULL,Female,Married / remarried,NULL,No,8,25200,96190,NULL,NULL,NULL,########
641,TN,BF402CE8-5970-42FD-A753-2FD22D94985C,Bradley,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
642,US,9BAC70E9-80E5-4E00-9864-810B38C88A4B,North Carolina,ABA Federal,20040,Caucasian,48,Male,Single,No,No,2,13000,25390,300,NULL,NULL,########
643,VA,8A0713E6-A107-4F7D-A5C1-659314C9EA49,Powhatan,Virginia,23139,Caucasian,NULL,Male,Married / remarried,NULL,No,4,46800,48990,1000,0,NULL,########
644,AL,B85C7DF7-E00E-4EA9-8B2D-75112F98B5B0,Dallas,Alabama,36703,African American,52,Female,Separated,No,No,2,0,25390,NULL,NULL,NULL,########
645,AZ,E0FC4A66-344C-4444-B047-352CF5DF0AF2,Maricopa,Arizona,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
646,CT,813789EE-F292-420C-9F85-2713E6A6AAA4,Fairfield,Connecticut,6610,Latino or Hispanic,NULL,Female,Single,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
647,HI,1F7FBB04-40FB-40BC-BF81-9784647FD807,Maui,Hawaii,96708,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
648,MD,A8440D94-009D-48D8-A92C-C11522E8A239,Montgomery,Maryland,20899,"African American,Caucasian",23,Male,Single,No,No,1,0,13590,NULL,NULL,NULL,########
649,ME,F23D1A87-4677-4729-8CF0-E8B7DBCD8C74,Hancock,Maine,4605,I'd rather not answer,49,Female,Divorced or Widowed,No,No,1,22000,13590,225,10,NULL,########
650,MO,744E964B-BB6A-4AC4-A578-9DC106B1ED15,Jackson,Missouri,64110,Caucasian,32,Female,Married / remarried,No,No,2,100000,32470,7000,10000,NULL,########
651,MS,A74BDB2E-46F2-4827-8712-3CC360B9DA43,Harrison,Mississippi,39574,Caucasian,30,Female,I'd rather not answer,No,No,2,1820,25390,0,NULL,NULL,########
652,NE,8AD6B382-F805-46F9-BA27-A9CCE6789CF7,Nance,Nebraska,68638,Caucasian,46,Female,Married / remarried,NULL,No,4,33600,70230,75,115,NULL,########
653,NH,731767B8-74F5-41A2-9C9B-3D234B322E51,Merrimack,New Hampshire,3301,I'd rather not answer,25,I'd rather not answer,I'd rather not answer,NULL,No,1,15000,13590,100,100,NULL,########
654,NJ,D34C4B59-EF11-468F-8A26-49962CEC22D6,Union,New Jersey,7974,,NULL,Male,Divorced or Widowed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
655,NM,55CAC169-EF5C-415E-9A7B-32EF53616868,Santa Fe,New Mexico,87507,Latino or Hispanic,NULL,Female,Married / remarried,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
656,NY,95EFE5D9-31FA-435C-83D5-150BD3EEDB48,New York,New York,6824,Latino or Hispanic,NULL,Male,Single,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
657,OK,AFE6ACC0-AA8C-42D7-8B78-AE7BBBCC990B,Oklahoma,Oklahoma,73159,Other,NULL,Female,Single,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
658,TN,F221F56D-8A45-4247-B563-F17986BFC247,Carroll,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
659,TX,099F6E39-B8A8-4D59-93AD-5A0406F8B37B,Fort Bend,Texas,77406,Caucasian,26,Female,Separated,No,No,2,0,25390,0,0,NULL,########
660,US,A78F3446-5971-41AD-A071-56FB8209377E,Wisconsin,ABA Federal,54171,I'd rather not answer,24,Other,Single,No,No,4,10200,48990,20,NULL,NULL,########
661,VA,3B9F008C-3CAB-4F3D-8F87-5D70718E196B,Norfolk city,Virginia,23505,Latino or Hispanic,NULL,Female,Married / remarried,NULL,No,3,2256,37190,NULL,NULL,NULL,########
662,WY,F1BB7A9E-EAFA-47C1-A9A8-ADDD4044CB47,Laramie,Wyoming,82001,Caucasian,NULL,Female,Single,NULL,No,1,10116,13590,NULL,NULL,NULL,########
663,AK,88B1A466-7AF6-43C3-AFCB-F33D58562610,Fairbanks North Star Borough,Alaska,99709,I'd rather not answer,39,Male,Married / remarried,Yes,No,7,28800,105490,NULL,5,NULL,########
664,AZ,59699F4B-0241-4D61-989B-7A1F00BDEDCB,Maricopa,Arizona,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
665,HI,B5CF6767-7E29-4518-8617-26241C78951D,Honolulu,Hawaii,96797,,31,NULL,NULL,NULL,No,2,48000,29205,7.95,0,NULL,########
666,KS,3DD9DDDD-D3C2-421B-93CF-72DD348D5179,Atchison,Kansas,66002,Caucasian,NULL,Male,Married / remarried,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
667,MA,1B54A271-0DE5-4936-8034-FDB47FECA160,Essex,Massachusetts,2148,Caucasian,28,Female,Single,No,No,3,5688,37190,NULL,NULL,NULL,########
668,MD,86FAE1A9-6F3C-42E5-97E7-7CDC9C3C9945,Baltimore city,Maryland,21215,,60,NULL,NULL,NULL,No,1,8796,13590,NULL,NULL,NULL,########
669,ME,4124469E-205F-4D1B-A52E-9828767F3BDA,York,Maine,4027,Caucasian,46,Female,Single,No,No,2,13.5,32470,2,51,NULL,########
670,MI,1C001658-AF7B-4F49-ACE8-A1016D230417,Genesee,Michigan,48503,Caucasian,25,Female,Single,No,No,1,28771,13590,379,200,NULL,########
671,MO,A7626D16-9AA9-41E3-86A7-B0EBEF557395,Buchanan,Missouri,64503,Caucasian,42,Female,Divorced or Widowed,No,No,1,0,13590,NULL,NULL,NULL,########
672,NH,BAF76B7A-CC1C-48E9-9A42-8746F523BC00,Merrimack,New Hampshire,3301,Caucasian,45,Female,Divorced or Widowed,No,No,2,20000,32470,NULL,NULL,NULL,########
673,NJ,EEB2116B-E48D-41DC-A05A-C30A797F788C,Somerset,New Jersey,8873,Caucasian,43,Male,Divorced or Widowed,No,No,4,8800,70230,125,NULL,NULL,########
674,PA,25C5A2F9-4536-4CAF-A143-7764F7F95630,Allegheny,Pennsylvania,15017,Caucasian,51,Female,Divorced or Widowed,No,No,2,40000,25390,12.48,NULL,NULL,########
675,TN,1818781D-FCC9-4363-A5BB-E96059354D97,Giles,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
676,US,1B264ECD-3194-40FA-A2C9-D3BB2266EAD6,Oregon,ABA Federal,97430,,27,NULL,NULL,NULL,No,1,10000,13590,NULL,NULL,NULL,########
677,VA,B27D2720-F99A-446E-98B7-91702CE3BB0A,Norfolk city,Virginia,23505,Latino or Hispanic,NULL,Male,Married / remarried,NULL,No,3,2256,37190,NULL,NULL,NULL,########
678,WY,80B87DB1-FF30-4518-8DF3-C99275FC3215,Albany,Wyoming,82070,Caucasian,NULL,Female,Married / remarried,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
679,AR,9BD7F06D-79A4-48C4-8114-1E516942FFD6,Independence,Arkansas,72501,Caucasian,44,Female,Divorced or Widowed,No,No,2,11568,25390,50,NULL,NULL,########
680,AZ,CF465869-AA87-41EA-8544-CF0E39DC1FB4,Maricopa,Arizona,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
681,IA,3638B966-DFEC-4E27-AB30-6B48C29E82A1,Black Hawk,Iowa,50613,Caucasian,NULL,Female,Single,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
682,KS,70255353-DEC9-4DB1-AB59-07524A9294A9,Graham,Kansas,67631,Caucasian,63,Male,Married / remarried,No,No,1,20000,13590,200,NULL,NULL,########
683,LA,41607672-A47D-49C6-A1B4-20F5610BF138,East Baton Rouge Parish,Louisiana,70809,,NULL,NULL,Divorced or Widowed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
684,MA,92101143-FE87-430D-B081-E39871D58AC4,Suffolk,Massachusetts,2136,Caucasian,NULL,Male,Single,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
685,MI,3B1C820B-CF50-4A73-B0C0-56E75B4D9F40,Genesee,Michigan,48506,African American,46,Female,Divorced or Widowed,No,No,3,13000,32470,3,300,NULL,########
686,PA,4D25E506-C2A4-4FD1-89B1-543873232FFF,Cambria,Pennsylvania,15946,Caucasian,54,Female,Separated,No,No,1,10140,13590,80,NULL,NULL,########
687,TN,0E358F4C-6D4B-40CA-85EE-69AA6718F467,Davidson,Tennessee,,NULL,40,NULL,NULL,NULL,No,1,23000,13590,500,NULL,NULL,########
688,US,8808A898-3B2F-4499-B298-E0A5172C4B75,North Carolina,ABA Federal,33021,Caucasian,NULL,Male,Married / remarried,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
689,VT,EF34E185-C43A-4313-870C-544207E3BA08,Rutland,Vermont,5758,Caucasian,35,Female,Single,No,No,2,1456000,25390,500,NULL,NULL,########
690,WY,2C25806D-A9E8-41C6-AB4D-0F2E95930E9D,Sublette,Wyoming,82923,I'd rather not answer,NULL,Female,Married / remarried,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
